Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
3.01	3.9165	3.15022	0	-15.227	9.80877	0	17.4386	-5.82096	0	
3.02	3.92992	3.15835	0	-15.286	9.84046	0	17.4984	-5.84515	0	
3.03	3.94335	3.16647	0	-15.345	9.87215	0	17.5582	-5.86934	0	
3.04	3.95677	3.1746	0	-15.4039	9.90384	0	17.618	-5.89353	0	
3.05	3.9702	3.18273	0	-15.4629	9.93553	0	17.6778	-5.91772	0	
3.06	3.98362	3.19085	0	-15.5219	9.96722	0	17.7376	-5.94191	0	
3.07	3.99705	3.19898	0	-15.5809	9.99891	0	17.7974	-5.96609	0	
3.08	4.01047	3.2071	0	-15.6398	10.0306	0	17.8572	-5.99028	0	
3.09	4.0239	3.21523	0	-15.6988	10.0623	0	17.917	-6.01447	0	
3.1	4.03732	3.22335	0	-15.7578	10.094	0	17.9768	-6.03866	0	
3.11	4.05075	3.23148	0	-15.8168	10.1257	0	18.0366	-6.06284	0	
3.12	4.06417	3.2396	0	-15.8757	10.1574	0	18.0964	-6.08703	0	
3.13	4.0776	3.24773	0	-15.9347	10.189	0	18.1562	-6.11122	0	
3.14	4.09102	3.25585	0	-15.9937	10.2207	0	18.216	-6.1354	0	
3.15	4.10445	3.26397	0	-16.0526	10.2524	0	18.2758	-6.15959	0	
3.16	4.11787	3.2721	0	-16.1116	10.2841	0	18.3356	-6.18378	0	
3.17	4.1313	3.28022	0	-16.1706	10.3158	0	18.3954	-6.20796	0	
3.18	4.14472	3.28835	0	-16.2296	10.3475	0	18.4552	-6.23215	0	
3.19	4.15815	3.29647	0	-16.2885	10.3792	0	18.515	-6.25633	0	
3.2	4.17157	3.30459	0	-16.3475	10.4109	0	18.5748	-6.28052	0	
3.21	4.185	3.31272	0	-16.4065	10.4426	0	18.6346	-6.3047	0	
3.22	4.19843	3.32084	0	-16.4655	10.4742	0	18.6944	-6.32889	0	
